"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best"
277.269,6.30263,6.31115,6.30472,6.30972,6.30870,280.261,6.30263,6.31115,6.30472,6.30972,6.30870,289.087,6.30263,6.31115,6.30472,6.30972,6.30870
280.376,6.30263,6.31115,6.30472,6.30972,6.30870,283.719,6.30263,6.31115,6.30472,6.30972,6.30870,292.517,6.30263,6.31115,6.30472,6.30972,6.30870
283.483,6.30263,6.31115,6.30472,6.30972,6.30870,287.176,6.30263,6.31115,6.30472,6.30972,6.30870,295.946,6.30263,6.31115,6.30472,6.30972,6.30870
286.590,6.30263,6.31115,6.30472,6.30972,6.30870,290.633,6.30263,6.31115,6.30472,6.30972,6.30870,299.376,6.30263,6.31115,6.30472,6.30972,6.30870
289.697,6.30263,6.31115,6.30472,6.30972,6.30870,294.091,6.30263,6.31115,6.30472,6.30972,6.30870,302.806,6.30263,6.31115,6.30472,6.30972,6.30870
292.804,6.30263,6.31115,6.30472,6.30972,6.30870,297.548,6.30263,6.31115,6.30472,6.30972,6.30870,306.235,6.30263,6.31115,6.30472,6.30972,6.30870
295.911,6.30263,6.31115,6.30472,6.30972,6.30870,301.005,6.30263,6.31115,6.30472,6.30972,6.30870,309.665,6.30263,6.31115,6.30472,6.30972,6.30870
299.018,6.30263,6.31115,6.30472,6.30972,6.30870,304.462,6.30263,6.31115,6.30472,6.30972,6.30870,313.095,6.30263,6.31115,6.30472,6.30972,6.30870
302.125,6.30263,6.31115,6.30472,6.30972,6.30870,307.920,6.30263,6.31115,6.30472,6.30972,6.30870,316.524,6.30263,6.31115,6.30472,6.30972,6.30870
305.232,6.30263,6.31115,6.30472,6.30972,6.30870,311.377,6.30263,6.31115,6.30472,6.30972,6.30870,319.954,6.30263,6.31115,6.30472,6.30972,6.30870
308.339,6.30263,6.31115,6.30472,6.30972,6.30870,314.834,6.30263,6.31115,6.30472,6.30972,6.30870,323.384,6.30263,6.31115,6.30472,6.30972,6.30870
311.446,6.30263,6.31115,6.30472,6.30972,6.30870,318.292,6.30263,6.31115,6.30472,6.30972,6.30870,326.813,6.30263,6.31115,6.30472,6.30972,6.30870
314.553,6.30263,6.31115,6.30472,6.30972,6.30870,321.749,6.30263,6.31115,6.30472,6.30972,6.30870,330.243,6.30263,6.31115,6.30472,6.30972,6.30870
317.660,6.30263,6.31115,6.30472,6.30972,6.30870,325.206,6.30263,6.31115,6.30472,6.30972,6.30870,333.673,6.30263,6.31115,6.30472,6.30972,6.30870
320.767,6.30263,6.31115,6.30472,6.30972,6.30870,328.663,6.30263,6.31115,6.30472,6.30972,6.30870,337.102,6.30263,6.31115,6.30472,6.30972,6.30870
323.874,6.30263,6.31115,6.30472,6.30972,6.30870,332.121,6.30263,6.31115,6.30472,6.30972,6.30870,340.532,6.30263,6.31115,6.30472,6.30972,6.30870
326.981,6.30263,6.31115,6.30472,6.30972,6.30870,335.578,6.30263,6.31115,6.30472,6.30972,6.30870,343.961,6.30263,6.31115,6.30472,6.30972,6.30870
330.088,6.30263,6.31115,6.30472,6.30972,6.30870,339.035,6.30263,6.31115,6.30472,6.30972,6.30870,347.391,6.30263,6.31115,6.30472,6.30972,6.30870
333.195,6.30263,6.31115,6.30472,6.30972,6.30870,342.493,6.30263,6.31115,6.30472,6.30972,6.30870,350.821,6.30263,6.31115,6.30472,6.30972,6.30870
336.302,6.30263,6.31115,6.30472,6.30972,6.30870,345.950,6.30263,6.31115,6.30472,6.30972,6.30870,354.250,6.30263,6.31115,6.30472,6.30972,6.30870
339.409,6.30263,6.31115,6.30472,6.30972,6.30870,349.407,6.30263,6.31115,6.30472,6.30972,6.30870,357.680,6.30263,6.31115,6.30472,6.30972,6.30870
342.516,6.30263,6.31115,6.30472,6.30972,6.30870,352.864,6.30263,6.31115,6.30472,6.30972,6.30870,361.110,6.30263,6.31115,6.30472,6.30972,6.30870
345.623,6.30263,6.31115,6.30472,6.30972,6.30870,356.322,6.30263,6.31115,6.30472,6.30972,6.30870,364.539,6.30263,6.31115,6.30472,6.30972,6.30870
348.731,6.30263,6.31115,6.30472,6.30972,6.30870,359.779,6.30263,6.31115,6.30472,6.30972,6.30870,367.969,6.30263,6.31115,6.30472,6.30972,6.30870
351.838,6.30263,6.31115,6.30472,6.30972,6.30870,363.236,6.30263,6.31115,6.30472,6.30972,6.30870,371.399,6.30263,6.31115,6.30472,6.30972,6.30870
354.945,6.30263,6.31115,6.30472,6.30972,6.30870,366.694,6.30263,6.31115,6.30472,6.30972,6.30870,374.828,6.30263,6.31115,6.30472,6.30972,6.30870
358.052,6.30263,6.31115,6.30472,6.30972,6.30870,370.151,6.30263,6.31115,6.30472,6.30972,6.30870,378.258,6.30263,6.31115,6.30472,6.30972,6.30870
361.159,6.30263,6.31115,6.30472,6.30972,6.30870,373.608,6.30263,6.31115,6.30472,6.30972,6.30870,381.688,6.30263,6.31115,6.30472,6.30972,6.30870
364.266,6.30263,6.31115,6.30472,6.30972,6.30870,377.065,6.30263,6.31115,6.30472,6.30972,6.30870,385.117,6.30263,6.31115,6.30472,6.30972,6.30870
367.373,6.30263,6.31115,6.30472,6.30972,6.30870,380.523,6.30263,6.31115,6.30472,6.30972,6.30870,388.547,6.30263,6.31115,6.30472,6.30972,6.30870
370.480,6.30263,6.31115,6.30472,6.30972,6.30870,383.980,6.30263,6.31115,6.30472,6.30972,6.30870,391.977,6.30263,6.31115,6.30472,6.30972,6.30870
373.587,6.30263,6.31115,6.30472,6.30972,6.30870,387.437,6.30263,6.31115,6.30472,6.30972,6.30870,395.406,6.30263,6.31115,6.30472,6.30972,6.30870
376.694,6.30263,6.31115,6.30472,6.30972,6.30870,390.895,6.30263,6.31115,6.30472,6.30972,6.30870,398.836,6.30263,6.31115,6.30472,6.30972,6.30870
379.801,6.30263,6.31115,6.30472,6.30972,6.30870,394.352,6.30263,6.31115,6.30472,6.30972,6.30870,402.265,6.30263,6.31115,6.30472,6.30972,6.30870
382.908,6.30263,6.31115,6.30472,6.30972,6.30870,397.809,6.30263,6.31115,6.30472,6.30972,6.30870,405.695,6.30263,6.31115,6.30472,6.30972,6.30870
386.015,6.30263,6.31115,6.30472,6.30972,6.30870,401.266,6.30263,6.31115,6.30472,6.30972,6.30870,409.125,6.30263,6.31115,6.30472,6.30972,6.30870
389.122,6.30263,6.31115,6.30472,6.30972,6.30870,404.724,6.30263,6.31115,6.30472,6.30972,6.30870,412.554,6.30263,6.31115,6.30472,6.30972,6.30870
392.229,6.30263,6.31115,6.30472,6.30972,6.30870,408.181,6.30263,6.31115,6.30472,6.30972,6.30870,415.984,6.30263,6.31115,6.30472,6.30972,6.30870
395.336,6.30263,6.31115,6.30472,6.30972,6.30870,411.638,6.30263,6.31115,6.30472,6.30972,6.30870,419.414,6.30263,6.31115,6.30472,6.30972,6.30870
398.443,6.30263,6.31115,6.30472,6.30972,6.30870,415.096,6.30263,6.31115,6.30472,6.30972,6.30870,422.843,6.30263,6.31115,6.30472,6.30972,6.30870
401.550,6.30263,6.31115,6.30472,6.30972,6.30870,418.553,6.30263,6.31115,6.30472,6.30972,6.30870,426.273,6.30263,6.31115,6.30472,6.30972,6.30870
404.657,6.30263,6.31115,6.30472,6.30972,6.30870,422.010,6.30263,6.31115,6.30472,6.30972,6.30870,429.703,6.30263,6.31115,6.30472,6.30972,6.30870
407.764,6.30263,6.31115,6.30472,6.30972,6.30870,425.467,6.30263,6.31115,6.30472,6.30972,6.30870,433.132,6.30263,6.31115,6.30472,6.30972,6.30870
410.871,6.30263,6.31115,6.30472,6.30972,6.30870,428.925,6.30263,6.31115,6.30472,6.30972,6.30870,436.562,6.30263,6.31115,6.30472,6.30972,6.30870
413.978,6.30263,6.31115,6.30472,6.30972,6.30870,432.382,6.30263,6.31115,6.30472,6.30972,6.30870,439.992,6.30263,6.31115,6.30472,6.30972,6.30870
417.085,6.30263,6.31115,6.30472,6.30972,6.30870,435.839,6.30263,6.31115,6.30472,6.30972,6.30870,443.421,6.30263,6.31115,6.30472,6.30972,6.30870
420.192,6.30263,6.31115,6.30472,6.30972,6.30870,439.297,6.30263,6.31115,6.30472,6.30972,6.30870,446.851,6.30263,6.31115,6.30472,6.30972,6.30870
423.299,6.30263,6.31115,6.30472,6.30972,6.30870,442.754,6.30263,6.31115,6.30472,6.30972,6.30870,450.281,6.30263,6.31115,6.30472,6.30972,6.30870
426.406,6.30263,6.31115,6.30472,6.30972,6.30870,446.211,6.30263,6.31115,6.30472,6.30972,6.30870,453.710,6.30263,6.31115,6.30472,6.30972,6.30870
429.513,6.30263,6.31115,6.30472,6.30972,6.30870,449.668,6.30263,6.31115,6.30472,6.30972,6.30870,457.140,6.30263,6.31115,6.30472,6.30972,6.30870
432.620,6.30263,6.31115,6.30472,6.30972,6.30870,453.126,6.30263,6.31115,6.30472,6.30972,6.30870,460.570,6.30263,6.31115,6.30472,6.30972,6.30870
435.728,6.30263,6.31115,6.30472,6.30972,6.30870,456.583,6.30263,6.31115,6.30472,6.30972,6.30870,463.999,6.30263,6.31115,6.30472,6.30972,6.30870
438.835,6.30263,6.31115,6.30472,6.30972,6.30870,460.040,6.30263,6.31115,6.30472,6.30972,6.30870,467.429,6.30263,6.31115,6.30472,6.30972,6.30870
441.942,6.30263,6.31115,6.30472,6.30972,6.30870,463.498,6.30263,6.31115,6.30472,6.30972,6.30870,470.858,6.30263,6.31115,6.30472,6.30972,6.30870
445.049,6.30263,6.31115,6.30472,6.30972,6.30870,466.955,6.30263,6.31115,6.30472,6.30972,6.30870,474.288,6.30263,6.31115,6.30472,6.30972,6.30870
448.156,6.30263,6.31115,6.30472,6.30972,6.30870,470.412,6.30263,6.31115,6.30472,6.30972,6.30870,477.718,6.30263,6.31115,6.30472,6.30972,6.30870
451.263,6.30263,6.31115,6.30472,6.30972,6.30870,473.869,6.30263,6.31115,6.30472,6.30972,6.30870,481.147,6.30263,6.31115,6.30472,6.30972,6.30870
454.370,6.30263,6.31115,6.30472,6.30972,6.30870,477.327,6.30263,6.31115,6.30472,6.30972,6.30870,484.577,6.30263,6.31115,6.30472,6.30972,6.30870
457.477,6.30263,6.31115,6.30472,6.30972,6.30870,480.784,6.30263,6.31115,6.30472,6.30972,6.30870,488.007,6.30263,6.31115,6.30472,6.30972,6.30870
460.584,6.30263,6.31115,6.30472,6.30972,6.30870,484.241,6.30263,6.31115,6.30472,6.30972,6.30870,491.436,6.30263,6.31115,6.30472,6.30972,6.30870
463.691,6.30263,6.31115,6.30472,6.30972,6.30870,487.699,6.30263,6.31115,6.30472,6.30972,6.30870,494.866,6.30263,6.31115,6.30472,6.30972,6.30870
466.798,6.30263,6.31115,6.30472,6.30972,6.30870,491.156,6.30263,6.31115,6.30472,6.30972,6.30870,498.296,6.30263,6.31115,6.30472,6.30972,6.30870
469.905,6.30263,6.31115,6.30472,6.30972,6.30870,494.613,6.30263,6.31115,6.30472,6.30972,6.30870,501.725,6.30263,6.31115,6.30472,6.30972,6.30870
473.012,6.30263,6.31115,6.30472,6.30972,6.30870,498.070,6.30263,6.31115,6.30472,6.30972,6.30870,505.155,6.30263,6.31115,6.30472,6.30972,6.30870
476.119,6.30263,6.31115,6.30472,6.30972,6.30870,501.528,6.30263,6.31115,6.30472,6.30972,6.30870,508.585,6.30263,6.31115,6.30472,6.30972,6.30870
479.226,6.30263,6.31115,6.30472,6.30972,6.30870,504.985,6.30263,6.31115,6.30472,6.30972,6.30870,512.014,6.30263,6.31115,6.30472,6.30972,6.30870
482.333,6.30263,6.31115,6.30472,6.30972,6.30870,508.442,6.30263,6.31115,6.30472,6.30972,6.30870,515.444,6.30263,6.31115,6.30472,6.30972,6.30870
485.440,6.30263,6.31115,6.30472,6.30972,6.30870,511.900,6.30263,6.31115,6.30472,6.30972,6.30870,518.874,6.30263,6.31115,6.30472,6.30972,6.30870
488.547,6.30263,6.31115,6.30472,6.30972,6.30870,515.357,6.30263,6.31115,6.30472,6.30972,6.30870,522.303,6.30263,6.31115,6.30472,6.30972,6.30870
491.654,6.30263,6.31115,6.30472,6.30971,6.30870,518.814,6.30263,6.31115,6.30472,6.30972,6.30870,525.733,6.30263,6.31115,6.30472,6.30972,6.30870
494.761,6.30256,6.31114,6.30472,6.30964,6.30870,522.271,6.30263,6.31115,6.30472,6.30972,6.30870,529.162,6.30263,6.31115,6.30472,6.30972,6.30870
497.868,6.30181,6.31111,6.30451,6.30948,6.30866,525.729,6.30263,6.31115,6.30472,6.30972,6.30870,532.592,6.30263,6.31115,6.30472,6.30972,6.30870
500.975,6.29447,6.31090,6.30299,6.30885,6.30806,529.186,6.30263,6.31115,6.30472,6.30972,6.30870,536.022,6.30263,6.31115,6.30472,6.30972,6.30870
504.082,6.23020,6.31027,6.28263,6.30756,6.30189,532.643,6.30263,6.31115,6.30472,6.30968,6.30870,539.451,6.30263,6.31115,6.30472,6.30972,6.30870
507.189,5.95407,6.30657,6.16603,6.29974,6.25898,536.101,6.30259,6.31114,6.30446,6.30921,6.30864,542.881,6.30255,6.31114,6.30462,6.30972,6.30857
510.296,5.18386,6.28384,5.74379,6.25909,6.05873,539.558,6.28299,6.31110,6.30269,6.30905,6.30756,546.311,6.27450,6.31104,6.30413,6.30964,6.30644
513.403,3.72043,6.16424,4.71758,6.07174,5.43113,543.015,6.14833,6.31023,6.28245,6.30802,6.29456,549.740,6.10003,6.30973,6.29564,6.30833,6.28436
516.510,1.82976,5.72518,3.02518,5.48238,4.10928,546.472,5.60793,6.30223,6.14474,6.30043,6.19955,553.170,5.46906,6.29711,6.22794,6.29502,6.14311
519.617,0.167967,4.65047,1.12369,4.21844,2.23753,549.930,4.26964,6.24403,5.57989,6.23736,5.77401,556.600,4.03500,6.21053,5.89767,6.20147,5.58546
522.724,-0.825739,2.92492,-0.314701,2.37340,0.455440,553.387,2.22309,5.94074,4.19235,5.92343,4.60543,560.029,1.98460,5.80629,4.90535,5.78590,4.22498
525.832,-1.22706,1.01562,-1.04392,0.555764,-0.684718,556.844,0.289833,4.97498,2.10660,4.95259,2.63504,563.459,0.139178,4.65986,3.06773,4.64005,2.17168
528.939,-1.31971,-0.367065,-1.28350,-0.633929,-1.17242,560.302,-0.837211,3.16920,0.187826,3.13201,0.594833,566.889,-0.905013,2.74214,0.970244,2.71097,0.254300
532.046,-1.34767,-1.05984,-1.32278,-1.14715,-1.30472,563.759,-1.23947,1.09248,-0.891327,1.01920,-0.701809,570.318,-1.27114,0.738274,-0.504641,0.692481,-0.852468
535.153,-1.34098,-1.24766,-1.32525,-1.28227,-1.30855,567.216,-1.33270,-0.430401,-1.25586,-0.483023,-1.20430,573.748,-1.33297,-0.619471,-1.14098,-0.641438,-1.24322
538.260,-1.35214,-1.13490,-1.31865,-1.21200,-1.26086,570.673,-1.34619,-1.12552,-1.31955,-1.13716,-1.31258,577.178,-1.32403,-1.17357,-1.29037,-1.18695,-1.31499
541.367,-1.30456,-0.941465,-1.27212,-1.07119,-1.16254,574.131,-1.34714,-1.20165,-1.32635,-1.28049,-1.29639,580.607,-1.35140,-1.19891,-1.33062,-1.29386,-1.28761
544.474,-1.21360,-0.655065,-1.17135,-0.845271,-0.993493,577.588,-1.34303,-1.03446,-1.31984,-1.19828,-1.22174,584.037,-1.33969,-1.01858,-1.32039,-1.25190,-1.20313
547.581,-1.07027,-0.279510,-1.00785,-0.527695,-0.735174,581.045,-1.26945,-0.759468,-1.25331,-1.02896,-1.07345,587.466,-1.26130,-0.733900,-1.24465,-1.12175,-1.04155
550.688,-0.842297,0.160508,-0.757921,-0.126705,-0.383389,584.503,-1.13159,-0.370276,-1.11776,-0.749645,-0.823049,590.896,-1.11360,-0.340779,-1.09837,-0.898870,-0.775780
553.795,-0.515725,0.621162,-0.408176,0.325483,0.0436235,587.960,-0.900283,0.110669,-0.891189,-0.353441,-0.456381,594.326,-0.867140,0.134254,-0.856335,-0.566810,-0.395869
556.902,-0.111009,1.05207,0.0170313,0.777697,0.505632,591.417,-0.559296,0.625968,-0.551475,0.133298,0.00938119,597.755,-0.510354,0.636576,-0.503911,-0.128733,0.0763440
560.009,0.344425,1.41224,0.477465,1.18402,0.951193,594.874,-0.116238,1.10468,-0.106112,0.651205,0.522661,601.185,-0.0551190,1.10141,-0.0503737,0.373637,0.586684
563.116,0.803198,1.68123,0.925287,1.51636,1.33420,598.332,0.391000,1.49028,0.400349,1.12849,1.01338,604.615,0.451331,1.47785,0.457787,0.874361,1.06624
566.223,1.20899,1.86074,1.31157,1.75323,1.62767,601.789,0.890420,1.75960,0.902588,1.50946,1.42040,608.044,0.939934,1.74469,0.948526,1.30816,1.45806
569.330,1.53420,1.96778,1.60987,1.90451,1.82810,605.246,1.32079,1.92267,1.33346,1.77281,1.71325,611.474,1.35550,1.91023,1.36453,1.63479,1.73640
572.437,1.76587,2.02481,1.81726,1.99140,1.95011,608.704,1.64309,2.00830,1.65353,1.92973,1.89608,614.904,1.65975,2.00013,1.67012,1.84855,1.90832
575.544,1.91317,2.05196,1.94491,2.03613,2.01631,612.161,1.85147,2.04728,1.86039,2.01121,1.99508,618.333,1.85951,2.04288,1.86870,1.97014,2.00066
578.651,1.99674,2.06351,2.01428,2.05680,2.04833,615.618,1.97002,2.06266,1.97633,2.04850,2.04159,621.763,1.97376,2.06068,1.97999,2.03005,2.04377
581.758,2.03905,2.06547,2.04751,2.06518,2.06213,619.075,2.02952,2.06544,2.03296,2.06315,2.06054,625.193,2.03090,2.06534,2.03422,2.05591,2.06127
584.865,2.05821,2.06547,2.06182,2.06541,2.06538,622.533,2.05552,2.06545,2.05707,2.06537,2.06531,628.622,2.05592,2.06542,2.05746,2.06531,2.06545
587.972,2.06527,2.06548,2.06531,2.06542,2.06538,625.990,2.06527,2.06547,2.06531,2.06543,2.06531,632.052,2.06528,2.06546,2.06533,2.06543,2.06545